Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value
Albania,2018,Total,Both Sexes,48,Estimate - de jure,"Final figure, complete",2019,37699
Albania,2018,Total,Both Sexes,49,Estimate - de jure,"Final figure, complete",2019,38147
Albania,2018,Total,Both Sexes,50,Estimate - de jure,"Final figure, complete",2019,39326
Albania,2018,Total,Both Sexes,50 - 54,Estimate - de jure,"Final figure, complete",2019,195813
Albania,2018,Total,Both Sexes,51,Estimate - de jure,"Final figure, complete",2019,37921
Albania,2018,Total,Both Sexes,52,Estimate - de jure,"Final figure, complete",2019,36672
Albania,2018,Total,Both Sexes,53,Estimate - de jure,"Final figure, complete",2019,39757
Albania,2018,Total,Both Sexes,54,Estimate - de jure,"Final figure, complete",2019,42137
Albania,2018,Total,Both Sexes,55,Estimate - de jure,"Final figure, complete",2019,41686
Albania,2018,Total,Both Sexes,55 - 59,Estimate - de jure,"Final figure, complete",2019,204061
Albania,2018,Total,Both Sexes,56,Estimate - de jure,"Final figure, complete",2019,41379
Albania,2018,Total,Both Sexes,57,Estimate - de jure,"Final figure, complete",2019,40054
Albania,2018,Total,Both Sexes,58,Estimate - de jure,"Final figure, complete",2019,42298
Albania,2018,Total,Both Sexes,59,Estimate - de jure,"Final figure, complete",2019,38644
Albania,2018,Total,Both Sexes,60,Estimate - de jure,"Final figure, complete",2019,37601
Albania,2018,Total,Both Sexes,60 - 64,Estimate - de jure,"Final figure, complete",2019,173175
Albania,2018,Total,Both Sexes,61,Estimate - de jure,"Final figure, complete",2019,34696
Albania,2018,Total,Both Sexes,62,Estimate - de jure,"Final figure, complete",2019,35021
Albania,2018,Total,Both Sexes,63,Estimate - de jure,"Final figure, complete",2019,34910
Albania,2018,Total,Both Sexes,64,Estimate - de jure,"Final figure, complete",2019,30947
Albania,2018,Total,Both Sexes,65,Estimate - de jure,"Final figure, complete",2019,27943
Albania,2018,Total,Both Sexes,65 - 69,Estimate - de jure,"Final figure, complete",2019,131026
Albania,2018,Total,Both Sexes,66,Estimate - de jure,"Final figure, complete",2019,26106
Albania,2018,Total,Both Sexes,67,Estimate - de jure,"Final figure, complete",2019,25723
Albania,2018,Total,Both Sexes,68,Estimate - de jure,"Final figure, complete",2019,26890
Albania,2018,Total,Both Sexes,69,Estimate - de jure,"Final figure, complete",2019,24364
Albania,2018,Total,Both Sexes,70,Estimate - de jure,"Final figure, complete",2019,22852
Albania,2018,Total,Both Sexes,70 - 74,Estimate - de jure,"Final figure, complete",2019,98509
Albania,2018,Total,Both Sexes,71,Estimate - de jure,"Final figure, complete",2019,19791
Albania,2018,Total,Both Sexes,72,Estimate - de jure,"Final figure, complete",2019,19721
Albania,2018,Total,Both Sexes,73,Estimate - de jure,"Final figure, complete",2019,17909
Albania,2018,Total,Both Sexes,74,Estimate - de jure,"Final figure, complete",2019,18236
Albania,2018,Total,Both Sexes,75,Estimate - de jure,"Final figure, complete",2019,19463
Albania,2018,Total,Both Sexes,75 - 79,Estimate - de jure,"Final figure, complete",2019,87199
Albania,2018,Total,Both Sexes,76,Estimate - de jure,"Final figure, complete",2019,19598
Albania,2018,Total,Both Sexes,77,Estimate - de jure,"Final figure, complete",2019,17108
Albania,2018,Total,Both Sexes,78,Estimate - de jure,"Final figure, complete",2019,16816
Albania,2018,Total,Both Sexes,79,Estimate - de jure,"Final figure, complete",2019,14214
Albania,2018,Total,Both Sexes,80,Estimate - de jure,"Final figure, complete",2019,12833
Albania,2018,Total,Both Sexes,80 - 84,Estimate - de jure,"Final figure, complete",2019,49425
Albania,2018,Total,Both Sexes,81,Estimate - de jure,"Final figure, complete",2019,11079
Albania,2018,Total,Both Sexes,82,Estimate - de jure,"Final figure, complete",2019,9476
Albania,2018,Total,Both Sexes,83,Estimate - de jure,"Final figure, complete",2019,9085
Albania,2018,Total,Both Sexes,84,Estimate - de jure,"Final figure, complete",2019,6952
Albania,2018,Total,Both Sexes,85 +,Estimate - de jure,"Final figure, complete",2019,23008
Algeria,2008,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,34080030
Algeria,2008,Total,Both Sexes,0,Census - de jure - complete tabulation,"Final figure, complete",2014,761979.2676
Algeria,2008,Total,Both Sexes,0 - 4,Census - de jure - complete tabulation,"Final figure, complete",2014,3404918.399
Algeria,2008,Total,Both Sexes,1,Census - de jure - complete tabulation,"Final figure, complete",2014,709216.391
Algeria,2008,Total,Both Sexes,2,Census - de jure - complete tabulation,"Final figure, complete",2014,662691.1802
Algeria,2008,Total,Both Sexes,3,Census - de jure - complete tabulation,"Final figure, complete",2014,649704.112
Algeria,2008,Total,Both Sexes,4,Census - de jure - complete tabulation,"Final figure, complete",2014,621327.4479
Algeria,2008,Total,Both Sexes,5,Census - de jure - complete tabulation,"Final figure, complete",2014,598735.0041
Algeria,2008,Total,Both Sexes,5-Sep,Census - de jure - complete tabulation,"Final figure, complete",2014,2888375.989
Algeria,2008,Total,Both Sexes,6,Census - de jure - complete tabulation,"Final figure, complete",2014,585712.9916
Algeria,2008,Total,Both Sexes,7,Census - de jure - complete tabulation,"Final figure, complete",2014,567072.8859
Algeria,2008,Total,Both Sexes,8,Census - de jure - complete tabulation,"Final figure, complete",2014,563940.3709
Algeria,2008,Total,Both Sexes,9,Census - de jure - complete tabulation,"Final figure, complete",2014,572914.7369
Algeria,2008,Total,Both Sexes,10,Census - de jure - complete tabulation,"Final figure, complete",2014,592848.398
Algeria,2008,Total,Both Sexes,Oct-14,Census - de jure - complete tabulation,"Final figure, complete",2014,3258772.507
Algeria,2008,Total,Both Sexes,11,Census - de jure - complete tabulation,"Final figure, complete",2014,604898.3321
Algeria,2008,Total,Both Sexes,12,Census - de jure - complete tabulation,"Final figure, complete",2014,639315.563
Algeria,2008,Total,Both Sexes,13,Census - de jure - complete tabulation,"Final figure, complete",2014,715089.2744
Algeria,2008,Total,Both Sexes,14,Census - de jure - complete tabulation,"Final figure, complete",2014,706620.9395
Algeria,2008,Total,Both Sexes,15,Census - de jure - complete tabulation,"Final figure, complete",2014,742346.035
Algeria,2008,Total,Both Sexes,15 - 19,Census - de jure - complete tabulation,"Final figure, complete",2014,3635171.486
Algeria,2008,Total,Both Sexes,16,Census - de jure - complete tabulation,"Final figure, complete",2014,715468.6461
Algeria,2008,Total,Both Sexes,17,Census - de jure - complete tabulation,"Final figure, complete",2014,724790.8106
Algeria,2008,Total,Both Sexes,18,Census - de jure - complete tabulation,"Final figure, complete",2014,717831.2966
Algeria,2008,Total,Both Sexes,19,Census - de jure - complete tabulation,"Final figure, complete",2014,734734.6972
Algeria,2008,Total,Both Sexes,20,Census - de jure - complete tabulation,"Final figure, complete",2014,746175.3497
Algeria,2008,Total,Both Sexes,20 - 24,Census - de jure - complete tabulation,"Final figure, complete",2014,3763503.642
Algeria,2008,Total,Both Sexes,21,Census - de jure - complete tabulation,"Final figure, complete",2014,730532.3046
Algeria,2008,Total,Both Sexes,22,Census - de jure - complete tabulation,"Final figure, complete",2014,752999.6204
Algeria,2008,Total,Both Sexes,23,Census - de jure - complete tabulation,"Final figure, complete",2014,779169.6299
Algeria,2008,Total,Both Sexes,24,Census - de jure - complete tabulation,"Final figure, complete",2014,754626.737
Algeria,2008,Total,Both Sexes,25,Census - de jure - complete tabulation,"Final figure, complete",2014,736442.3363
Algeria,2008,Total,Both Sexes,25 - 29,Census - de jure - complete tabulation,"Final figure, complete",2014,3422376.607
Algeria,2008,Total,Both Sexes,26,Census - de jure - complete tabulation,"Final figure, complete",2014,703787.5612
Algeria,2008,Total,Both Sexes,27,Census - de jure - complete tabulation,"Final figure, complete",2014,695610.6086
Algeria,2008,Total,Both Sexes,28,Census - de jure - complete tabulation,"Final figure, complete",2014,661492.8803
Algeria,2008,Total,Both Sexes,29,Census - de jure - complete tabulation,"Final figure, complete",2014,625043.2204
Algeria,2008,Total,Both Sexes,30,Census - de jure - complete tabulation,"Final figure, complete",2014,597494.2127
Algeria,2008,Total,Both Sexes,30 - 34,Census - de jure - complete tabulation,"Final figure, complete",2014,2740995.582
Algeria,2008,Total,Both Sexes,31,Census - de jure - complete tabulation,"Final figure, complete",2014,562689.1142
Algeria,2008,Total,Both Sexes,32,Census - de jure - complete tabulation,"Final figure, complete",2014,555925.8034
Algeria,2008,Total,Both Sexes,33,Census - de jure - complete tabulation,"Final figure, complete",2014,519234.2541
Algeria,2008,Total,Both Sexes,34,Census - de jure - complete tabulation,"Final figure, complete",2014,505652.1975
Algeria,2008,Total,Both Sexes,35,Census - de jure - complete tabulation,"Final figure, complete",2014,508689.0241
Algeria,2008,Total,Both Sexes,35 - 39,Census - de jure - complete tabulation,"Final figure, complete",2014,2342779.358
Algeria,2008,Total,Both Sexes,36,Census - de jure - complete tabulation,"Final figure, complete",2014,469510.9874
Algeria,2008,Total,Both Sexes,37,Census - de jure - complete tabulation,"Final figure, complete",2014,492012.0868
Algeria,2008,Total,Both Sexes,38,Census - de jure - complete tabulation,"Final figure, complete",2014,454417.5633
Algeria,2008,Total,Both Sexes,39,Census - de jure - complete tabulation,"Final figure, complete",2014,418149.6962
Algeria,2008,Total,Both Sexes,40,Census - de jure - complete tabulation,"Final figure, complete",2014,407461.7267
Algeria,2008,Total,Both Sexes,40 - 44,Census - de jure - complete tabulation,"Final figure, complete",2014,2018327.039
Algeria,2008,Total,Both Sexes,41,Census - de jure - complete tabulation,"Final figure, complete",2014,410485.5506
Algeria,2008,Total,Both Sexes,42,Census - de jure - complete tabulation,"Final figure, complete",2014,394858.4058
Algeria,2008,Total,Both Sexes,43,Census - de jure - complete tabulation,"Final figure, complete",2014,401517.2927
Algeria,2008,Total,Both Sexes,44,Census - de jure - complete tabulation,"Final figure, complete",2014,404004.0633
Algeria,2008,Total,Both Sexes,45,Census - de jure - complete tabulation,"Final figure, complete",2014,375103.2738
Algeria,2008,Total,Both Sexes,45 - 49,Census - de jure - complete tabulation,"Final figure, complete",2014,1629436.436
Algeria,2008,Total,Both Sexes,46,Census - de jure - complete tabulation,"Final figure, complete",2014,306651.5814
Algeria,2008,Total,Both Sexes,47,Census - de jure - complete tabulation,"Final figure, complete",2014,335858.124
Algeria,2008,Total,Both Sexes,48,Census - de jure - complete tabulation,"Final figure, complete",2014,316729.5738
Algeria,2008,Total,Both Sexes,49,Census - de jure - complete tabulation,"Final figure, complete",2014,295093.8834
Algeria,2008,Total,Both Sexes,50,Census - de jure - complete tabulation,"Final figure, complete",2014,278136.7988
Algeria,2008,Total,Both Sexes,50 - 54,Census - de jure - complete tabulation,"Final figure, complete",2014,1346694.675
Algeria,2008,Total,Both Sexes,51,Census - de jure - complete tabulation,"Final figure, complete",2014,246643.3467
Algeria,2008,Total,Both Sexes,52,Census - de jure - complete tabulation,"Final figure, complete",2014,274580.1026
Algeria,2008,Total,Both Sexes,53,Census - de jure - complete tabulation,"Final figure, complete",2014,287504.5985
Algeria,2008,Total,Both Sexes,54,Census - de jure - complete tabulation,"Final figure, complete",2014,259829.8286
Algeria,2008,Total,Both Sexes,55,Census - de jure - complete tabulation,"Final figure, complete",2014,251594.3722
Algeria,2008,Total,Both Sexes,55 - 59,Census - de jure - complete tabulation,"Final figure, complete",2014,1062577.613
Algeria,2008,Total,Both Sexes,56,Census - de jure - complete tabulation,"Final figure, complete",2014,223277.8275
Algeria,2008,Total,Both Sexes,57,Census - de jure - complete tabulation,"Final figure, complete",2014,230370.4247
Algeria,2008,Total,Both Sexes,58,Census - de jure - complete tabulation,"Final figure, complete",2014,181043.6253
Algeria,2008,Total,Both Sexes,59,Census - de jure - complete tabulation,"Final figure, complete",2014,176291.3636
Algeria,2008,Total,Both Sexes,60,Census - de jure - complete tabulation,"Final figure, complete",2014,176668.4698
Algeria,2008,Total,Both Sexes,60 - 64,Census - de jure - complete tabulation,"Final figure, complete",2014,711481.6195
Algeria,2008,Total,Both Sexes,61,Census - de jure - complete tabulation,"Final figure, complete",2014,149516.7512
Algeria,2008,Total,Both Sexes,62,Census - de jure - complete tabulation,"Final figure, complete",2014,118751.9206
Algeria,2008,Total,Both Sexes,63,Census - de jure - complete tabulation,"Final figure, complete",2014,136980.5932
Algeria,2008,Total,Both Sexes,64,Census - de jure - complete tabulation,"Final figure, complete",2014,129563.8847
Algeria,2008,Total,Both Sexes,65,Census - de jure - complete tabulation,"Final figure, complete",2014,137373.0925
Algeria,2008,Total,Both Sexes,65 - 69,Census - de jure - complete tabulation,"Final figure, complete",2014,631303.1174
Algeria,2008,Total,Both Sexes,66,Census - de jure - complete tabulation,"Final figure, complete",2014,120840.8977
Algeria,2008,Total,Both Sexes,67,Census - de jure - complete tabulation,"Final figure, complete",2014,136792.3505
Algeria,2008,Total,Both Sexes,68,Census - de jure - complete tabulation,"Final figure, complete",2014,122341.1145
Algeria,2008,Total,Both Sexes,69,Census - de jure - complete tabulation,"Final figure, complete",2014,113955.6623
Algeria,2008,Total,Both Sexes,70,Census - de jure - complete tabulation,"Final figure, complete",2014,103792.3069
Algeria,2008,Total,Both Sexes,70 - 74,Census - de jure - complete tabulation,"Final figure, complete",2014,504925.6554
Algeria,2008,Total,Both Sexes,71,Census - de jure - complete tabulation,"Final figure, complete",2014,108481.6739
Algeria,2008,Total,Both Sexes,72,Census - de jure - complete tabulation,"Final figure, complete",2014,108994.9344
Algeria,2008,Total,Both Sexes,73,Census - de jure - complete tabulation,"Final figure, complete",2014,93756.02768
Algeria,2008,Total,Both Sexes,74,Census - de jure - complete tabulation,"Final figure, complete",2014,89900.71261
Algeria,2008,Total,Both Sexes,75,Census - de jure - complete tabulation,"Final figure, complete",2014,88589.00915
Algeria,2008,Total,Both Sexes,75 - 79,Census - de jure - complete tabulation,"Final figure, complete",2014,363842.6252
Algeria,2008,Total,Both Sexes,76,Census - de jure - complete tabulation,"Final figure, complete",2014,70181.97837
Algeria,2008,Total,Both Sexes,77,Census - de jure - complete tabulation,"Final figure, complete",2014,88589.30083
Algeria,2008,Total,Both Sexes,78,Census - de jure - complete tabulation,"Final figure, complete",2014,59252.16279
Algeria,2008,Total,Both Sexes,79,Census - de jure - complete tabulation,"Final figure, complete",2014,57230.17407
Algeria,2008,Total,Both Sexes,80,Census - de jure - complete tabulation,"Final figure, complete",2014,45879.45136
Algeria,2008,Total,Both Sexes,80 - 84,Census - de jure - complete tabulation,"Final figure, complete",2014,187129.5684
Algeria,2008,Total,Both Sexes,81,Census - de jure - complete tabulation,"Final figure, complete",2014,41083.20268
Algeria,2008,Total,Both Sexes,82,Census - de jure - complete tabulation,"Final figure, complete",2014,39293.68885
Algeria,2008,Total,Both Sexes,83,Census - de jure - complete tabulation,"Final figure, complete",2014,33402.10693
Algeria,2008,Total,Both Sexes,84,Census - de jure - complete tabulation,"Final figure, complete",2014,27471.1186
Algeria,2008,Total,Both Sexes,85,Census - de jure - complete tabulation,"Final figure, complete",2014,24650.13472
Algeria,2008,Total,Both Sexes,85 +,Census - de jure - complete tabulation,"Final figure, complete",2009,132445
American Samoa,2010,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,55519
American Samoa,2010,Total,Both Sexes,0 - 4,Census - de jure - complete tabulation,"Final figure, complete",2013,6611
American Samoa,2010,Total,Both Sexes,5-Sep,Census - de jure - complete tabulation,"Final figure, complete",2013,6535
American Samoa,2010,Total,Both Sexes,Oct-14,Census - de jure - complete tabulation,"Final figure, complete",2013,6279
American Samoa,2010,Total,Both Sexes,15 - 19,Census - de jure - complete tabulation,"Final figure, complete",2013,6296
American Samoa,2010,Total,Both Sexes,20 - 24,Census - de jure - complete tabulation,"Final figure, complete",2013,3891
American Samoa,2010,Total,Both Sexes,25 - 29,Census - de jure - complete tabulation,"Final figure, complete",2013,3324
American Samoa,2010,Total,Both Sexes,30 - 34,Census - de jure - complete tabulation,"Final figure, complete",2013,3510
American Samoa,2010,Total,Both Sexes,35 - 39,Census - de jure - complete tabulation,"Final figure, complete",2013,3609
American Samoa,2010,Total,Both Sexes,40 - 44,Census - de jure - complete tabulation,"Final figure, complete",2013,3600
American Samoa,2010,Total,Both Sexes,45 - 49,Census - de jure - complete tabulation,"Final figure, complete",2013,3389
American Samoa,2010,Total,Both Sexes,50 - 54,Census - de jure - complete tabulation,"Final figure, complete",2013,2679
American Samoa,2010,Total,Both Sexes,55 - 59,Census - de jure - complete tabulation,"Final figure, complete",2013,2049
American Samoa,2010,Total,Both Sexes,60 - 64,Census - de jure - complete tabulation,"Final figure, complete",2013,1480
American Samoa,2010,Total,Both Sexes,65 - 69,Census - de jure - complete tabulation,"Final figure, complete",2013,960
American Samoa,2010,Total,Both Sexes,70 - 74,Census - de jure - complete tabulation,"Final figure, complete",2013,654
American Samoa,2010,Total,Both Sexes,75 - 79,Census - de jure - complete tabulation,"Final figure, complete",2013,337
American Samoa,2010,Total,Both Sexes,80 - 84,Census - de jure - complete tabulation,"Final figure, complete",2013,206
American Samoa,2010,Total,Both Sexes,85 +,Census - de jure - complete tabulation,"Final figure, complete",2013,110
Andorra,2012,Total,Both Sexes,Total,Estimate - de jure,"Final figure, complete",2013,78115
Andorra,2012,Total,Both Sexes,Total,Estimate - de jure,"Final figure, complete",2013,77180.5
Andorra,2012,Total,Both Sexes,0,Estimate - de jure,"Final figure, complete",2013,606
Andorra,2012,Total,Both Sexes,0,Estimate - de jure,"Final figure, complete",2013,580.5
Andorra,2012,Total,Both Sexes,0 - 4,Estimate - de jure,"Final figure, complete",2013,3706
Andorra,2012,Total,Both Sexes,1,Estimate - de jure,"Final figure, complete",2013,707
Andorra,2012,Total,Both Sexes,1,Estimate - de jure,"Final figure, complete",2013,715
Andorra,2012,Total,Both Sexes,1-Apr,Estimate - de jure,"Final figure, complete",2013,3125.5
Andorra,2012,Total,Both Sexes,2,Estimate - de jure,"Final figure, complete",2013,761
Andorra,2012,Total,Both Sexes,2,Estimate - de jure,"Final figure, complete",2013,769
Andorra,2012,Total,Both Sexes,3,Estimate - de jure,"Final figure, complete",2013,867
Andorra,2012,Total,Both Sexes,3,Estimate - de jure,"Final figure, complete",2013,832.5
Andorra,2012,Total,Both Sexes,4,Estimate - de jure,"Final figure, complete",2013,825
Andorra,2012,Total,Both Sexes,4,Estimate - de jure,"Final figure, complete",2013,773
Andorra,2012,Total,Both Sexes,5,Estimate - de jure,"Final figure, complete",2013,813
Andorra,2012,Total,Both Sexes,5,Estimate - de jure,"Final figure, complete",2013,791.5
Andorra,2012,Total,Both Sexes,5-Sep,Estimate - de jure,"Final figure, complete",2013,4016
Andorra,2012,Total,Both Sexes,6,Estimate - de jure,"Final figure, complete",2013,799
Andorra,2012,Total,Both Sexes,6,Estimate - de jure,"Final figure, complete",2013,808
Andorra,2012,Total,Both Sexes,7,Estimate - de jure,"Final figure, complete",2013,823
Andorra,2012,Total,Both Sexes,7,Estimate - de jure,"Final figure, complete",2013,812.5
Andorra,2012,Total,Both Sexes,8,Estimate - de jure,"Final figure, complete",2013,809
Andorra,2012,Total,Both Sexes,8,Estimate - de jure,"Final figure, complete",2013,802.5
Andorra,2012,Total,Both Sexes,9,Estimate - de jure,"Final figure, complete",2013,810.5
Andorra,2012,Total,Both Sexes,9,Estimate - de jure,"Final figure, complete",2013,828
Andorra,2012,Total,Both Sexes,10,Estimate - de jure,"Final figure, complete",2013,832
Andorra,2012,Total,Both Sexes,10,Estimate - de jure,"Final figure, complete",2013,817
Andorra,2012,Total,Both Sexes,Oct-14,Estimate - de jure,"Final figure, complete",2013,4246
Andorra,2012,Total,Both Sexes,11,Estimate - de jure,"Final figure, complete",2013,840.5
Andorra,2012,Total,Both Sexes,11,Estimate - de jure,"Final figure, complete",2013,863
Andorra,2012,Total,Both Sexes,12,Estimate - de jure,"Final figure, complete",2013,909
Andorra,2012,Total,Both Sexes,12,Estimate - de jure,"Final figure, complete",2013,881
Andorra,2012,Total,Both Sexes,13,Estimate - de jure,"Final figure, complete",2013,874
Andorra,2012,Total,Both Sexes,13,Estimate - de jure,"Final figure, complete",2013,840
Andorra,2012,Total,Both Sexes,14,Estimate - de jure,"Final figure, complete",2013,840
Andorra,2012,Total,Both Sexes,14,Estimate - de jure,"Final figure, complete",2013,833.5
Andorra,2012,Total,Both Sexes,15,Estimate - de jure,"Final figure, complete",2013,793
Andorra,2012,Total,Both Sexes,15,Estimate - de jure,"Final figure, complete",2013,753
Andorra,2012,Total,Both Sexes,15 - 19,Estimate - de jure,"Final figure, complete",2013,3794
Andorra,2012,Total,Both Sexes,16,Estimate - de jure,"Final figure, complete",2013,769
Andorra,2012,Total,Both Sexes,16,Estimate - de jure,"Final figure, complete",2013,752
Andorra,2012,Total,Both Sexes,17,Estimate - de jure,"Final figure, complete",2013,741.5
Andorra,2012,Total,Both Sexes,17,Estimate - de jure,"Final figure, complete",2013,733
Andorra,2012,Total,Both Sexes,18,Estimate - de jure,"Final figure, complete",2013,758
Andorra,2012,Total,Both Sexes,18,Estimate - de jure,"Final figure, complete",2013,737.5
Andorra,2012,Total,Both Sexes,19,Estimate - de jure,"Final figure, complete",2013,770
Andorra,2012,Total,Both Sexes,19,Estimate - de jure,"Final figure, complete",2013,801
Andorra,2012,Total,Both Sexes,20,Estimate - de jure,"Final figure, complete",2013,743
Andorra,2012,Total,Both Sexes,20,Estimate - de jure,"Final figure, complete",2013,763.5
Andorra,2012,Total,Both Sexes,20 - 24,Estimate - de jure,"Final figure, complete",2013,3834
Andorra,2012,Total,Both Sexes,21,Estimate - de jure,"Final figure, complete",2013,739.5
Andorra,2012,Total,Both Sexes,21,Estimate - de jure,"Final figure, complete",2013,745
Andorra,2012,Total,Both Sexes,22,Estimate - de jure,"Final figure, complete",2013,784
Andorra,2012,Total,Both Sexes,22,Estimate - de jure,"Final figure, complete",2013,763
Andorra,2012,Total,Both Sexes,23,Estimate - de jure,"Final figure, complete",2013,790.5
Andorra,2012,Total,Both Sexes,23,Estimate - de jure,"Final figure, complete",2013,792
Andorra,2012,Total,Both Sexes,24,Estimate - de jure,"Final figure, complete",2013,779
Andorra,2012,Total,Both Sexes,24,Estimate - de jure,"Final figure, complete",2013,777.5
Andorra,2012,Total,Both Sexes,25,Estimate - de jure,"Final figure, complete",2013,910
Andorra,2012,Total,Both Sexes,25,Estimate - de jure,"Final figure, complete",2013,839
Andorra,2012,Total,Both Sexes,25 - 29,Estimate - de jure,"Final figure, complete",2013,5038.5
Andorra,2012,Total,Both Sexes,26,Estimate - de jure,"Final figure, complete",2013,960
Andorra,2012,Total,Both Sexes,26,Estimate - de jure,"Final figure, complete",2013,931
